1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
51897.32005,53064.00506,53051.51072,54031.6642,54851.7279,55219.32891,55413.85184,55619.17291,56293.1306,56593.62991,56627.95126,57256.48026,58221.54887,59424.07889,60002.67111,60577.19164
60501.26404,61465.3223,62370.36653,63125.73154,63368.60179,62834.36525,63780.78465,64182.01168,64544.89448,65573.89796,65479.98695,66972.76621,67089.15409,66876.34508,66600.83972,66433.09826
66162.55373,67077.38784,66801.66719,66557.8421,66054.71985,66818.78787,65488.29347,65817.38037,65368.63528,65490.40498,65159.14863,63882.44322,62690.6355,62832.53352,62163.92339,60764.88798
60929.3546,61978.38626,61637.88059,61310.77349,61078.45802,60987.49112,61254.4258,60287.86227,60590.81635,60590.81635,60478.31635,60179.13033,59589.03831,59104.85345,59738.18626,59406.23148
59473.32419,59323.97334,59442.6,59587.99359,59669.95598,59734.19291,61179.31692,62273.73425,61963.91468,61963.91468,65256.67071,64920.8936,63977.26356,64490.65417,64377.5048,64012.53302
62775.51269,63364.94134,63850.79613,63882.40258,64250.35333,64746.4276,64407.22709,63836.56747,63970.35032,63406.63129,63664.6134,62079.66708,60833.02888,59856.30027,57756.08347,57080.40831
57039.21475,58058.72478,58009.38798,58834.25448,59858.84101,60799.34888,60974.15986,62047.9355,62600.89432,63402.83022,63711.49182,65054.8638,65666.20622,67058.11429,67323.99615,67821.1091
68726.44945,70467.50335,71078.3529,71009.32897,70578.79835,70619.95837,70993.29653,71468.33183,72393.24485,72370.04339,72601.57418,73331.5783,73498.60043,73061.98416,73236.10769,72251.77586
71523.04505,70869.06549,70558.96886,70776.4535,70316.4568,70885.28649,70081.81551,69533.10715,69708.25883,68607.07252,68307.86682,67407.88006,66866.49756,65871.39634,64887.94174,64960.56122
65618.07258,65939.71151,65603.46313,65569.18028,65125.14277,64936.28271,64925.72311,63784.06207,63685.67736,63551.18454,63253.65371,62734.80896,53978.07628,62168.12246,61868.49056,62228.80671
61998.45941,62374.10309,61936.08292,62267.89325,63595.1948,64332.10772,64590.60949,66560.08048,67467.34811,67793.83741,67627.51544,66870.68407,67494.32881,67109.10547,67323.81085,67786.44488
66589.45846,66800.92675,67311.53896,66779.46958,67329.10241,67164.18618,67046.05199,66660.35165,66299.14799,65897.89814,64718.1998,63676.48938,62068.69989,60789.40408,57836.22157,58014.25618
58305.78511,59045.96537,60352.77424,61674.70108,63179.67872,65563.26175,65806.11203,66381.61789,66898.79021,67088.24416,67411.23914,67984.24477,69198.9528,69371.58381,69827.80889,71060.2882
71646.62482,71699.44775,73003.76814,72839.91388,72195.97256,71077.02628,71401.753,70697.69506,71203.67562,72209.9022,72201.63126,73120.16704,72676.56052,72539.95588,72270.55307,71709.67736
71496.7358,71370.96926,71061.13264,71088.1993,70748.68968,71276.8914,70653.04129,69403.26736,69150.96665,68662.94104,68573.0576,67429.26764,66892.04264,65825.94705,65497.90794,64690.58919
64476.54053,66086.39651,65869.76942,65832.28683,65580.57839,66358.9275,66172.85674,65666.36378,65321.36608,64831.81551,64309.71008,64861.85957,64094.50238,63916.02251,64572.23848,64201.10119
63846.32535,63323.21634,63960.44506,64145.76031,64028.07294,64724.49292,65584.53476,66546.39097,67537.9332,67880.68332,68089.5478,67972.64255,67664.42093,68300.48823,67967.56156,68971.98565
67747.89169,66189.76706,67136.01103,66682.10991,65917.52449,65360.61956,65020.37224,64466.14932,63582.82823,63050.69616,62677.97354,61628.43993,60477.4096,59608.99308,57702.01146,56158.98698
55886.28185,57354.47646,57433.00474,59139.07859,59426.36815,59881.01542,60252.6779,60917.38569,61275.73478,61860.45812,62540.46534,63301.80109,64067.24218,65106.15546,65481.92042,66698.09276
68141.82998,68849.22748,69354.42322,70028.80885,69425.63127,68449.96789,69224.64169,69202.13378,70024.3989,70417.55292,70564.81477,71859.65766,70870.91301,71282.75842,70622.03282,70427.81147
69924.45523,69496.73481,69887.76282,69661.6127,69350.98111,69559.25143,68724.29455,67436.64422,67385.4493,67470.50874,66329.34014,65460.10881,64915.5341,64240.81769,63078.536,63700.94401
63323.802,64804.01278,63851.33449,64294.42877,64015.70668,62767.34241,62727.99672,62569.69413,62450.87276,62572.30854,61744.12863,62361.68773,61554.55419,61950.2802,61426.33546,61386.75213
61812.42829,62209.0992,62410.74071,62235.36267,62272.18231,63224.58207,63471.90713,64506.69047,62055.25981,66171.74037,65912.48605,65291.68165,64910.8028,64894.34553,65482.54226,65368.36263
63184.93743,62944.45051,64003.16424,64308.41094,63997.96771,64193.26744,64798.98923,64317.67286,64754.11412,64498.51186,64535.37227,63510.26649,62919.5776,62448.32144,60121.79282,59908.94038
60773.83959,61986.76579,62872.88439,64613.13964,65794.81475,66798.95607,67624.0324,68894.48468,68724.4798,69120.74474,69120.74474,70399.08117,71079.44396,71732.58711,71948.9838,72553.03748
72128.61113,72660.87464,73098.04592,73096.15777,72084.8511,71482.7908,71394.06899,72185.16459,72067.35965,72354.17155,72941.20917,73616.1703,73312.57206,73601.26128,72565.14649,72364.05307
71660.78599,72583.76574,72045.57864,71313.41339,71364.65675,71450.14335,70953.19899,70157.64927,69116.52078,69014.43522,68652.08882,67730.16487,66953.95907,65813.72571,65077.62992,65010.23355
66495.14106,66485.45598,66626.39607,66379.19571,66623.07822,65890.68747,66362.2184,66097.9153,65731.77743,66396.80481,65495.48619,65311.93648,65141.58844,65388.79339,65715.73736,65047.32812
64940.16198,65052.49813,65406.93823,64824.15455,65886.91596,66148.41149,67745.57215,68305.78414,69063.17691,70267.12158,70949.7917,70737.37297,71570.6163,73021.5457,72225.38675,73491.34257
72513.20535,72727.08264,72772.93057,72833.27979,72785.66148,71773.2342,72493.8952,71670.0081,71529.83635,71981.98693,71868.81311,71715.25748,69865.17165,68934.61875,67675.26457,65249.8115
65152.74048,65225.9737,66001.27167,66704.33154,67355.61644,68136.6694,68465.92923,68844.25562,69016.19008,70298.91914,70725.8626,71274.8783,71599.29684,71689.50853,71591.74526,71951.50277
73113.7974,73608.45973,74761.97992,74559.24738,73321.42523,72495.01589,72490.19623,72958.9772,72568.93788,72943.86515,72786.36338,73770.68676,74228.50591,73540.84749,73675.34786,72683.67196
72163.4384,72163.4384,71842.78183,71715.74894,72088.90458,72335.46061,72057.36215,71520.46713,70860.8219,70703.18569,70595.19722,69589.45819,68458.74858,68046.21206,67160.59397,66754.87632
66449.84075,67557.06898,66992.77965,67584.79023,67292.1758,66600.90047,66514.80077,65747.40645,66006.84073,64954.1779,65496.71219,65686.25328,65490.19966,64879.81311,64680.42334,64872.68966
64792.06697,64637.98237,64316.40037,65268.28273,65703.88973,65447.26971,66408.46736,66972.63636,67335.2692,68317.82815,68054.0254,68184.12552,67646.24364,68347.41527,68286.21151,68674.46453
67882.44779,67818.93826,67138.01215,67812.76605,66084.89976,65672.51763,65611.02977,64887.96125,64361.97575,63771.89927,63632.88016,61896.60777,60359.82521,60310.76002,58226.08585,56720.37029
56619.09196,57720.42895,58023.39706,58817.52375,59881.28239,60246.04346,60357.30489,60530.99821,60608.39393,61659.03211,62049.55803,62003.11959,63531.74697,64120.9424,64537.22043,65317.07914
66219.20472,67653.42344,68327.89746,68732.88549,68127.36121,67538.08314,67305.38721,68532.33354,67879.04705,68829.63085,69675.57818,69324.40416,69630.62928,70029.49236,69702.6481,69496.42669
69403.59843,69463.23126,69270.84738,68950.11676,68990.70072,68582.76837,68927.4054,69008.02734,68425.95292,68159.58533,66874.83654,66471.48313,64965.45417,65383.63081,64839.1104,63896.04726
64044.26649,64145.41218,64611.28006,64488.06649,63647.80453,63722.7051,63659.56581,63346.33825,63254.49772,63604.20868,62560.9572,62627.46792,62369.73222,62622.39028,61581.69655,61916.68598
61905.88126,62114.13693,61854.94469,61895.83864,62848.05332,63529.27339,63645.9224,64714.0065,64479.0855,64641.55357,64489.69326,64382.29676,63697.97557,63131.1367,62827.4246,62628.87699
59855.55259,58738.16687,58256.60699,58069.04943,57632.90681,58109.01246,57252.34247,57700.88245,57107.06112,57392.59643,56548.20806,56042.2283,54390.38997,53250.01901,52490.85888,52098.38684
52762.30172,53078.6605,53454.3896,54122.37152,54825.77935,54959.13328,55762.01569,55719.81431,55469.28935,55967.64766,56247.4859,57164.63836,57748.72333,58503.18089,59496.49434,60541.77354
61895.49326,63148.68235,64338.89114,64179.79183,63915.56274,65203.92765,65436.63001,65564.76509,66496.73606,66860.54488,67345.62876,67010.57588,67001.67362,67338.36545,66953.41897,66885.88727
66414.70835,66121.35679,66592.8868,66382.09348,65533.3756,65804.22662,64830.27791,64460.76885,63890.07466,63130.52834,62751.49953,61769.35851,61580.55708,60664.27219,60059.92061,59171.77267
58698.62141,60343.3232,60256.98176,60816.30475,60229.67672,60319.44889,59689.27681,59743.67054,59541.79924,59294.38901,59020.23363,59436.90787,58887.23584,58730.3795,58716.15692,58828.74727
59038.71057,58869.7824,59523.3499,59099.94135,60173.27,60263.55144,61575.48929,62518.78995,63112.97148,63478.56267,63391.18997,63807.40108,63834.31206,63646.02095,64728.21803,65255.50554
64928.44099,64183.95552,64861.33547,64704.70224,64704.70224,64197.79055,63800.72701,63165.89391,63571.67627,62746.9322,62750.91454,61799.01215,60203.19352,59590.03151,57981.7194,57789.87759
57653.8743,58747.84401,59330.48779,60940.40645,61543.43793,62042.40101,62155.09778,63063.77234,63426.07326,63804.21484,64441.20633,64874.23629,65815.77298,65646.12072,66572.51996,68034.97167
68946.6763,70475.93462,71791.68115,71730.68914,71239.6399,70152.50085,70445.742,71295.48125,71415.16119,71772.237,71415.16119,72948.8255,73765.80058,72552.62014,73141.41604,72243.86782
72167.64132,72233.98391,72194.08091,71714.90179,71981.69578,71757.62095,72259.60967,71103.02559,69916.65765,69383.09799,68896.90961,68401.63298,67639.42814,66213.95956,65700.17668,65100.17061
