1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Cluster
63644.94848,64000.88661,63650.01096,64204.42377,64437.25497,65325.69382,65492.34047,65500.76484,65330.0253,65266.77836,64736.90568,64123.97621,63785.09639,63423.13016,63200.87585,62141.05024,4
64538.69509,65818.68544,66530.08177,67194.6815,66609.52655,66789.46066,67030.38139,67429.63195,67566.61023,68286.65525,68522.62278,68621.17844,69368.64713,69886.70133,69847.37533,69379.59663,4
68955.10945,68895.16543,68962.41353,68653.19172,68614.24302,68096.68397,67369.66965,66202.72349,65709.43913,65654.06525,64855.11676,63826.4235,63230.69839,62346.40814,61704.14795,61322.02789,4
63487.13476,63487.13476,64275.94859,64936.87846,65470.02205,65720.7556,65985.87273,66142.46782,66045.22366,66347.25462,66088.49844,65579.30585,64883.73105,63468.71276,62629.7475,60851.96176,4
60364.99842,61031.72657,61712.85844,63014.74724,63578.03313,64804.52036,65119.82928,66289.53065,67080.65752,67772.0671,68208.77969,68928.12559,70264.66508,70834.08658,71787.13197,73095.06721,4
64848.01027,64385.90021,64530.29359,64285.66981,64176.19475,64543.54608,64637.14865,65024.83637,65019.1338,65643.95439,65397.88317,64335.87439,62728.56862,61973.80403,60155.82885,60177.61395,4
68310.74858,68826.74465,68826.74465,68573.62505,67841.36849,67735.15596,66875.15596,66548.2136,66738.81144,66112.07289,66438.70645,66125.88838,65739.89445,65995.92,65779.95604,65244.26981,4
68087.21615,67568.29931,68319.33152,68764.3569,69590.56027,69934.54563,70139.04648,69993.25366,70008.75643,69955.53029,69932.44207,69184.04764,68003.33726,67222.37248,66248.19229,65192.35222,4
64855.761,65821.42752,66598.62404,68544.36305,69235.88153,71019.7737,71215.26794,72337.90545,72529.66747,73064.89482,73948.25563,74497.34034,74900.61961,76072.19385,76342.47898,76894.49638,4
70103.62485,70945.55518,71042.48661,70787.22749,70502.06179,70531.65063,69700.34058,69110.62703,69053.45736,68947.71857,68893.6155,68795.36559,68652.65348,68837.02183,68177.43762,68234.89118,4
68346.89879,68099.81291,68240.60701,68325.05786,68840.46172,69580.52985,70048.8641,69706.79172,70317.63001,70151.82526,70007.92423,69794.54205,69915.22897,70121.74339,71217.98178,71882.09704,4
69080.91215,69682.32753,69893.52485,69547.70694,69309.41033,68744.45615,68534.55647,68255.87786,67807.96446,67600.60617,67703.0042,67296.85488,66861.366,66786.60212,66401.7382,65938.34752,4
65794.97226,65521.65235,65555.71803,65729.85453,65997.54937,66352.05474,66596.95696,67498.92375,67927.51448,68461.96852,68207.28808,68358.57452,68654.89507,68992.30982,69570.4818,71556.41569,4
71088.29817,70556.53788,70845.1326,71967.23551,72321.59529,72735.45374,73081.7698,73910.48049,73911.55996,74172.18035,74575.33777,74213.94783,73234.27724,72152.97566,70927.58044,68756.78632,4
73306.63064,73534.73508,73403.83579,73121.76345,73059.09836,72841.79996,71794.30459,71158.10719,70964.34144,70779.94277,70096.41012,69372.00463,68637.18627,68009.93099,67367.18677,66827.77462,4
68819.14446,70368.20252,70368.20252,69971.85084,69823.73756,69292.90515,69091.65853,69104.50908,68733.35581,68102.73347,68136.8412,68068.32924,67708.55726,67295.03994,67337.55425,67033.04714,4
67121.54656,67247.01158,67431.76573,68238.37103,68328.36694,69329.68612,70089.80453,70412.81099,70801.22178,71245.65614,70953.89337,70863.61569,70275.79944,70585.41691,70365.35522,71154.45015,4
69907.83356,69684.78517,69636.77615,69926.63074,70117.52538,69921.4131,70092.46037,69884.60514,69624.90907,69885.09749,69062.30598,67911.71633,66283.7578,65307.15469,63142.88401,62252.5832,4
61738.54069,63005.16555,63367.572,64192.84672,64842.28401,65735.0164,66417.65444,66784.00521,66992.25264,67811.78754,68304.83079,69176.19587,69527.63806,70490.33816,71578.72909,72632.16141,4
